ts_code,name
512290.SH,生物医药ETF
515230.SH,软件ETF
159732.SZ,消费电子ETF
159939.SZ,信息技术ETF
516510.SH,云计算ETF
513750.SH,港股非银ETF
513220.SH,中概互联ETF
515000.SH,科技ETF
159929.SZ,医药ETF
159691.SZ,港股红利ETF
515050.SH,5G通信ETF
515170.SH,食品饮料ETF
159859.SZ,生物医药ETF
511580.SH,国债政金债ETF
159747.SZ,香港科技ETF
516820.SH,医疗创新ETF
159628.SZ,国证2000ETF
159611.SZ,电力ETF
159865.SZ,养殖ETF
159638.SZ,高端装备ETF
513200.SH,港股通医药ETF
159993.SZ,证券ETF龙头
159996.SZ,家电ETF
561980.SH,半导体设备ETF
510150.SH,消费ETF
516350.SH,半导体芯片ETF
510180.SH,XD上证180ETF
159980.SZ,有色ETF
159816.SZ,0-4地债ETF
516780.SH,稀土ETF
516110.SH,汽车ETF
560080.SH,中药ETF
513550.SH,港股通50ETF
513530.SH,港股通红利ETF
159667.SZ,工业母机ETF
517520.SH,黄金股ETF
159350.SZ,深证50ETF富国
511060.SH,5年地方债ETF
515210.SH,钢铁ETF
515650.SH,消费50ETF
159883.SZ,医疗器械ETF
588860.SH,科创医药ETF
159905.SZ,深红利ETF
159807.SZ,科技ETF
513970.SH,恒生消费ETF
159825.SZ,农业ETF
512040.SH,价值100ETF
159707.SZ,地产ETF
560170.SH,央企科技ETF
513690.SH,恒生高股息ETF
588830.SH,科创新能源ETF
159870.SZ,化工ETF
562800.SH,稀有金属ETF
159692.SZ,证券ETF东财
510230.SH,金融ETF
513920.SH,港股通央企红利ET
159768.SZ,房地产ETF
159938.SZ,医药卫生ETF
515900.SH,央企创新驱动ETF
159887.SZ,银行ETF
515300.SH,红利低波ETF基金
561580.SH,央企红利ETF
515250.SH,智能汽车ETF
588010.SH,科创新材料ETF
159745.SZ,建材ETF
561910.SH,电池ETF
159997.SZ,电子ETF
560850.SH,信创50ETF
159790.SZ,碳中和ETF
159735.SZ,港股消费ETF
515260.SH,电子ETF
516950.SH,基建ETF
159814.SZ,创业大盘ETF
159726.SZ,恒生红利ETF
513160.SH,港股科技30ETF
588100.SH,科创信息技术ETF
510630.SH,消费30ETF
159903.SZ,深成ETF
510810.SH,上海国企ETF
588020.SH,科创成长50ETF
560800.SH,数字经济ETF
513950.SH,恒生红利ETF
161725.SZ,白酒基金LOF
159837.SZ,生物科技ETF
510720.SH,红利国企ETF
159325.SZ,半导体精选ETF
159930.SZ,能源ETF
515630.SH,保险证券ETF
159541.SZ,创业板综ETF万家
512910.SH,中证A100ETF
159573.SZ,创业板200ETF华夏
513170.SH,恒生央企ETF
164906.SZ,中概互联网LOF
159843.SZ,食品饮料ETF
159335.SZ,央企科创ETF
512950.SH,央企改革ETF
560700.SH,央企红利50ETF
159519.SZ,港股国企ETF
560860.SH,工业有色ETF
515950.SH,医药龙头ETF
159652.SZ,有色50ETF
513900.SH,港股通100ETF
159773.SZ,创业板科技ETF
513990.SH,港股通ETF
563330.SH,A股ETF
513190.SH,港股通金融ETF
562310.SH,沪深300成长ETF
159512.SZ,汽车ETF
561130.SH,国货ETF
512090.SH,MSCIA股ETF易方达
562990.SH,碳中和100ETF
159695.SZ,通信ETF
516910.SH,物流ETF
516620.SH,影视ETF
515750.SH,科技50ETF
515580.SH,科技100ETF
159312.SZ,恒生ETF港股通
560980.SH,光伏30ETF
513140.SH,港股金融ETF
159736.SZ,饮食ETF
159328.SZ,家电ETF易方达
159871.SZ,有色金属ETF
159752.SZ,新能源龙头ETF
159662.SZ,交运ETF
512120.SH,医药50ETF
562860.SH,生物疫苗ETF
560280.SH,工程机械ETF
561360.SH,石油ETF
510200.SH,上证券商ETF
510990.SH,180ESGETF
159902.SZ,中小100ETF
159758.SZ,红利质量ETF
510410.SH,资源ETF
159546.SZ,集成电路ETF
159606.SZ,中证500成长ETF
560960.SH,碳中和60指数ETF
159625.SZ,绿色电力ETF
512220.SH,TMTETF
159643.SZ,疫苗ETF
515590.SH,500等权ETF
516800.SH,智能制造ETF
159886.SZ,机械ETF
159966.SZ,创业板价值ETF
159873.SZ,医疗设备ETF
517800.SH,人工智能50ETF
512580.SH,环保ETF
560690.SH,电信ETF基金
560180.SH,ESG300ETF
159613.SZ,信息安全ETF
515920.SH,智能消费ETF
516590.SH,智能汽车50ETF
159511.SZ,通信ETF基金
561010.SH,软件ETF基金
159761.SZ,新材料50ETF
159510.SZ,沪深300价值ETF
159748.SZ,创新药ETF富国
561790.SH,央企现代能源ETF
159597.SZ,创业板成长ETF易方达
562910.SH,高端制造ETF
159880.SZ,有色ETF基金
515150.SH,一带一路ETF
159856.SZ,互联网龙头ETF
512750.SH,基本面50ETF
159588.SZ,石油天然气ETF
161123.SZ,并购重组LOF
159786.SZ,VRETF
159520.SZ,消费龙头ETF
159730.SZ,龙头家电ETF
562330.SH,中证500价值ETF
562900.SH,现代农业ETF
516550.SH,农业ETF
159616.SZ,农牧ETF
159309.SZ,油气资源ETF
510060.SH,央企ETF
159861.SZ,碳中和50ETF
159912.SZ,深300ETF
512330.SH,信息科技ETF
516190.SH,文娱传媒ETF
510650.SH,金融地产ETF
515960.SH,医药健康ETF
159788.SZ,港股通100ETF
510770.SH,G60创新ETF
513780.SH,港股创新药50ETF
562320.SH,沪深300价值ETF
512530.SH,沪深300红利ETF
563180.SH,高股息ETF
159586.SZ,计算机ETF南方
159836.SZ,创300ETF
159940.SZ,金融地产ETF
159326.SZ,电网设备ETF
516600.SH,消费服务ETF
159583.SZ,通信设备ETF
562520.SH,中证1000成长ETF
510030.SH,价值ETF
517880.SH,品牌消费ETF
159945.SZ,能源ETF基金
159936.SZ,可选消费ETF
562010.SH,绿色能源ETF
159717.SZ,ESGETF
516720.SH,ESGETF
159301.SZ,公用事业ETF
561060.SH,国企红利ETF
159528.SZ,国企改革ETF
561330.SH,矿业ETF
517660.SH,物联网沪港深ETF
516560.SH,养老ETF
510130.SH,中盘ETF
512650.SH,长三角ETF
515200.SH,创新100ETF
512640.SH,金融地产ETF基金
501079.SH,科创大成LOF
517380.SH,创新药沪港深ETF
159725.SZ,线上消费ETF
159617.SZ,500价值ETF
159587.SZ,粮食50ETF
515760.SH,浙江国资ETF
517770.SH,游戏传媒ETF
159666.SZ,交通运输ETF
510660.SH,医药卫生ETF
510170.SH,大宗商品ETF
159909.SZ,TMT50ETF
159906.SZ,深成长龙头ETF
159623.SZ,成渝经济圈ETF
159683.SZ,运输ETF
159523.SZ,沪深300成长ETF
516900.SH,食品饮料ETF基金
516980.SH,证券ETF先锋
510290.SH,上证380ETF
159728.SZ,在线消费ETF
159811.SZ,5G50ETF
159723.SZ,科技龙头ETF
510160.SH,产业升级ETF
517000.SH,沪港深500ETF
515860.SH,科技ETF基金
513320.SH,恒生新经济ETF
513630.SH,香港红利
516310.SH,银行ETF
159307.SZ,红利低波100
563020.SH,红利低波
159941.SZ,纳指
513500.SH,标普500
513400.SH,道琼斯
159509.SZ,纳指科技
159529.SZ,标普消费
513290.SH,纳指生物科技
164824.SZ,印度
513730.SH,东南亚科技
513520.SH,日经
513030.SH,德国
513080.SH,法国
513800.SH,东证
159329.SZ,沙特
159687.SZ,亚太精选
513850.SH,美国 50
162415.SZ,美国消费
159502.SZ,标普生物
161128.SZ,标普信息
501225.SH,全球芯片
513310.SH,中韩半导体
159518.SZ,标普油气
501300.SH,美债
518880.SH,黄金
162411.SZ,华宝油气
161226.SZ,白银
159985.SZ,豆粕
501018.SH,原油
159980.SZ,有色
159981.SZ,能源化工
511520.SH,政金债
511090.SH,30年国债
511360.SH,短融
511030.SH,公司
511220.SH,城投
159650.SZ,国开
511020.SH,活跃国债
159593.SZ,中证 A50
560530.SH,中证 A500
513050.SH,中概互联
159920.SZ,恒生
159952.SZ,创业板
588280.SH,科创 50
159922.SZ,中证500
560010.SH,1000
159501.SZ,纳指100
513650.SH,标普500
513880.SH,日经
515180.SH,红利
159545.SZ,红利低波
159593.SZ,中证A50
513130.SH,恒科
159531.SZ,中证2000
159842.SZ,券商
159715.SZ,稀土
516290.SH,光伏
516070.SH,碳中和
